ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС;
1.2.2.3.3.5;DRF000000000421567;Дрофа;9;;Никитин А. Ф., Никитина Т. И.;Обществознание. 9 класс;75;0,18;Обществознание. 9 класс (Лицензия 1 год)
1.2.2.4.2.1;DRF000000000421623;Дрофа;5;"УМК География. ""Классическая линия"" (5-9)";Баринова И. И., Плешаков А. А., Сонин Н. И.;География. 5 класс;75;0,18;География. 5 класс (Лицензия 1 год)
1.2.2.4.2.2;DRF000000000421624;Дрофа;6;"УМК География. ""Классическая линия"" (5-9)";Герасимова Т. П., Неклюкова Н. П.;География. Начальный курс. 6 класс;75;0,18;География. Начальный курс. 6 класс (Лицензия 1 год)
1.2.2.4.2.3;DRF000000000421625;Дрофа;7;"УМК География. ""Классическая линия"" (5-9)";Коринская В. А., Душина И. В., Щенев В. А.;География. География материков и океанов. 7 класс;75;0,18;География. География материков и океанов. 7 класс (Лицензия 1 год)
1.2.2.4.2.4;DRF000000000421626;Дрофа;8;"УМК География. ""Классическая линия"" (5-9)";Баринова И. И.;География. География России. Природа. 8 класс;75;0,18;География. География России. Природа. 8 класс (Лицензия 1 год)
1.2.2.4.4.1;DRF000000000421619;Дрофа;5-6;УМК Дронова. География (5-9);Дронов В. П., Савельева Л. Е.;География. Землеведение. 5-6 классы;75;0,18;География. Землеведение. 5-6 классы (Лицензия 1 год)
1.2.2.4.4.2;DRF000000000421620;Дрофа;7;УМК Дронова. География (5-9);Душина И. В., Коринская В. А., Щенев В. А.;География. Материки, океаны, народы и страны. 7 класс;75;0,18;География. Материки, океаны, народы и страны. 7 класс (Лицензия 1 год)
1.2.2.4.4.3;DRF000000000421621;Дрофа;8;УМК Дронова. География (5-9);Дронов В. П., Баринова И. И., Ром В. Я.;География. География России. Природа. Население. Хозяйство. 8 класс;75;0,18;География. География России. Природа. Население. Хозяйство. 8 класс (Лицензия 1 год)
1.2.2.4.5.1;DRF000000000421537;Дрофа;5-6;УМК Климановой-Алексеева. География (5-9);Климанова О. А.;География. 5-6 классы;75;0,18;География. 5-6 классы (Лицензия 1 год)
1.2.2.4.5.2;DRF000000000421616;Дрофа;7;УМК Климановой-Алексеева. География (5-9);Климанова О. А., Климанов В. В., Ким Э. В., Сиротин В. И.;География. Страноведение. 7 класс;75;0,18;География. Страноведение. 7 класс (Лицензия 1 год)
1.2.2.4.5.3;DRF000000000421617;Дрофа;8;УМК Климановой-Алексеева. География (5-9);Алексеев А. И.;География. География России: Природа и население. 8 класс;75;0,18;География. География России: Природа и население. 8 класс (Лицензия 1 год)
1.2.2.4.5.4;DRF000000000421618;Дрофа;9;УМК Климановой-Алексеева. География (5-9);Алексеев А. И.;География. География России. Хозяйство и географические районы. 9 класс;75;0,18;География. География России. Хозяйство и географические районы. 9 класс (Лицензия 1 год)
1.2.3.1.11.1;DRF000000000421488;Дрофа;5;УМК Муравина. Математика (5-6);Муравин Г. К., Муравина О. В.;Математика. 5 класс;75;0,18;Математика. 5 класс (Лицензия 1 год)
1.2.3.1.11.2;DRF000000000421494;Дрофа;6;УМК Муравина. Математика (5-6);Муравин Г. К., Муравина О. В.;Математика. 6 класс;75;0,18;Математика. 6 класс (Лицензия 1 год)
1.2.3.1.11.3;DRF000000000421495;Дрофа;7;УМК Муравина. Алгебра (7-9);Муравин Г. К., Муравин К. С., Муравина О. В.;Алгебра. 7 класс;75;0,18;Алгебра. 7 класс (Лицензия 1 год)
1.2.3.1.11.4;DRF000000000421496;Дрофа;8;УМК Муравина. Алгебра (7-9);Муравин Г. К., Муравин К. С., Муравина О. В.;Алгебра. 8 класс;75;0,18;Алгебра. 8 класс (Лицензия 1 год)
1.2.3.1.11.5;DRF000000000421497;Дрофа;9;УМК Муравина. Алгебра (7-9);Муравин Г. К., Муравин К. С., Муравина О. В.;Алгебра. 9 класс;75;0,18;Алгебра. 9 класс (Лицензия 1 год)
1.2.3.1.12.3;DRF000000000421502;Дрофа;5-6;УМК Шарыгина. Наглядная Геометрия (5-6);Шарыгин И. Ф., Ерганжиева Л. Н.;Наглядная геометрия. 5-6 классы;75;0,18;Наглядная геометрия. 5-6 классы (Лицензия 1 год)
1.2.3.4.2.1;DRF000000000421507;Дрофа;8;УМК Быкадорова. Информатика (8-9);Быкадоров Ю. А.;Информатика. 8 класс;75;0,18;Информатика. 8 класс (Лицензия 1 год)
1.2.3.4.2.2;DRF000000000421508;Дрофа;9;УМК Быкадорова. Информатика (8-9);Быкадоров Ю. А.;Информатика. 9 класс;75;0,18;Информатика. 9 класс (Лицензия 1 год)
1.2.4.1.6.1;DRF000000000421687;Дрофа;7;УМК Перышкина. Физика (7-9);Перышкин А. В.;Физика. 7 класс;75;0,18;Физика. 7 класс (Лицензия 1 год)
1.2.4.1.6.2;DRF000000000421688;Дрофа;8;УМК Перышкина. Физика (7-9);Перышкин А. В.;Физика. 8 класс;75;0,18;Физика. 8 класс (Лицензия 1 год)
1.2.4.1.6.3;DRF000000000421689;Дрофа;9;УМК Перышкина. Физика (7-9);Перышкин А. В., Гутник Е. М.;Физика. 9 класс;75;0,18;Физика. 9 класс (Лицензия 1 год)
1.2.4.1.7.1;DRF000000000421673;Дрофа;7;УМК Пурышевой. Физика (7-9);Пурышева Н. С., Важеевская Н. Е.;Физика. 7 класс;75;0,18;Физика. 7 класс (Лицензия 1 год)
1.2.4.1.7.2;DRF000000000421685;Дрофа;8;УМК Пурышевой. Физика (7-9);Пурышева Н. С., Важеевская Н. Е.;Физика. 8 класс;75;0,18;Физика. 8 класс (Лицензия 1 год)
