;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
№ ФП массового учебника;Система;Код 1С;Класс;"Автор в 1С издательства ""Просвещение""";"Наименование в 1С издательства ""Просвещение""";Линия УМК;Примечание;Год издания;Цена с НДС, руб. ;Заказ (количество экз);Система
1.1.1.3.9.2;Перспектива/ Школа России;25-0604-01;3;Бим И. Л., Рыжова Л. И., Фомичева Л. М.;Немецкий язык. 3 класс. В 4-х ч. Ч.1 (для слабовидящих обучающихся);Бим И.Л. (2-4);;2016;1210,00;;Перспектива/ Школа России
1.1.1.3.9.2;Перспектива/ Школа России;25-0606-01;3;Бим И. Л., Рыжова Л. И., Фомичева Л. М.;Немецкий язык. 3 класс. В 4-х ч. Ч.2 (для слабовидящих обучающихся);Бим И.Л. (2-4);;2016;1210,00;;Перспектива/ Школа России
1.1.1.3.9.2;Перспектива/ Школа России;25-0608-01;3;Бим И. Л., Рыжова Л. И., Фомичева Л. М.;Немецкий язык. 3 класс. В 4-х ч. Ч.3 (для слабовидящих обучающихся);Бим И.Л. (2-4);;2016;1210,00;;Перспектива/ Школа России
1.1.1.3.9.2;Перспектива/ Школа России;25-0609-01;3;Бим И. Л., Рыжова Л. И., Фомичева Л. М.;Немецкий язык. 3 класс. В 4-х ч. Ч.4 (для слабовидящих обучающихся);Бим И.Л. (2-4);;2016;1210,00;;Перспектива/ Школа России
1.1.2.1.4.2;Перспектива (альтернативная линия);07-0447-01;2;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 2 класс. В 4-х ч. Ч.1 (для слабовидящих обучающихся);Дорофеев Г.В. (1-4);;2016;990,00;;Перспектива (альтернативная линия)
1.1.2.1.4.2;Перспектива (альтернативная линия);07-0449-01;2;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 2 класс. В 4-х ч. Ч.2  (для слабовидящих обучающихся);Дорофеев Г.В. (1-4);;2016;990,00;;Перспектива (альтернативная линия)
1.1.2.1.4.2;Перспектива (альтернативная линия);07-0450-01;2;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 2 класс. В 4-х ч. Ч.3  (для слабовидящих обучающихся);Дорофеев Г.В. (1-4);;2016;990,00;;Перспектива (альтернативная линия)
1.1.2.1.4.2;Перспектива (альтернативная линия);07-0451-01;2;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 2 класс. В 4-х ч. Ч. 4  (для слабовидящих обучающихся);Дорофеев Г.В. (1-4);;2016;990,00;;Перспектива (альтернативная линия)
1.1.2.1.8.1;Школа России;07-0431-01;1;Моро М. И., Волкова С. И., Степанова С. В.;Математика. 1 класс. В 4 ч. Ч.1 (для слабовидящих обучающихся);Моро М.И. (1-4);;2016;770,00;;Школа России
1.1.2.1.8.1;Школа России;07-0432-01;1;Моро М. И., Волкова С. И., Степанова С. В.;Математика. 1 класс. В 4 ч. Ч.2 (для слабовидящих обучающихся);Моро М.И. (1-4);;2016;770,00;;Школа России
1.1.2.1.8.1;Школа России;07-0433-01;1;Моро М. И., Волкова С. И., Степанова С. В.;Математика. 1 класс. В 4 ч. Ч.3 (для слабовидящих обучающихся);Моро М.И. (1-4);;2016;770,00;;Школа России
1.1.2.1.8.1;Школа России;07-0434-01;1;Моро М. И., Волкова С. И., Степанова С. В.;Математика. 1 класс. В 4 ч. Ч.4 (для слабовидящих обучающихся);Моро М.И. (1-4);;2016;770,00;;Школа России
1.1.2.1.8.2;Школа России;07-0435-01;2;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 2 класс. В 4 ч. Ч.1 (для слабовидящих обучающихся);Моро М.И. (1-4);;2016;770,00;;Школа России
1.1.2.1.8.2;Школа России;07-0436-01;2;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 2 класс. В 4 ч. Ч.2 (для слабовидящих обучающихся);Моро М.И. (1-4);;2016;770,00;;Школа России
1.1.2.1.8.2;Школа России;07-0437-01;2;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 2 класс. В 4 ч. Ч.3 (для слабовидящих обучающихся);Моро М.И. (1-4);;2016;770,00;;Школа России
1.1.2.1.8.2;Школа России;07-0438-01;2;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 2 класс. В 4 ч. Ч.4 (для слабовидящих обучающихся);Моро М.И. (1-4);;2016;770,00;;Школа России
1.1.2.1.8.3;Школа России;07-0439-01;3;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 3 класс. В 4 ч. Ч.1 (для слабовидящих обучающихся);Моро М.И. (1-4);;2016;770,00;;Школа России
1.1.2.1.8.3;Школа России;07-0440-01;3;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 3 класс. В 4 ч. Ч.2 (для слабовидящих обучающихся);Моро М.И. (1-4);;2016;770,00;;Школа России
1.1.2.1.8.3;Школа России;07-0441-01;3;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 3 класс. В 4 ч. Ч.3 (для слабовидящих обучающихся);Моро М.И. (1-4);;2016;770,00;;Школа России
1.1.2.1.8.3;Школа России;07-0442-01;3;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 3 класс. В 4 ч. Ч.4 (для слабовидящих обучающихся);Моро М.И. (1-4);;2016;770,00;;Школа России
