ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС
1.2.2.2.3.6;VEN000000000430119;Вентана-Граф;9;УМК Мясникова. Всеобщая история (5-10);Хейфец В. Л., Северинов К. М., Хейфец Л. С.;Всеобщая история. История. 9 класс;75,00;0,18
1.2.2.3.4.1;VEN000000000430008;Вентана-Граф;5;;Соболева О. Б., Иванов О. В.;Обществознание. 5 класс;75,00;0,18
1.2.2.3.4.2;VEN000000000428278;Вентана-Граф;6;УМК Соболевой. Обществознание (6-9);Барабанов В. В., Насонова И. П.;Обществознание. 6 класс;75,00;0,18
1.2.2.3.4.3;VEN000000000428281;Вентана-Граф;7;УМК Соболевой. Обществознание (6-9);Соболева О. Б., Корсун Р. П.;Обществознание. 7 класс;75,00;0,18
1.2.2.3.4.4;VEN000000000428283;Вентана-Граф;8;УМК Соболевой. Обществознание (6-9);Соболева О. Б., Чайка В. Н.;Обществознание. 8 класс;75,00;0,18
1.2.2.3.4.5;VEN000000000428286;Вентана-Граф;9;УМК Соболевой. Обществознание (6-9);Насонова И. П.;Обществознание. 9 класс;75,00;0,18
1.2.2.4.6.1;VEN000000000428765;Вентана-Граф;5;УМК Дронова. География (Роза ветров) (5-9);Летягин А. А.;География. 5 класс;75,00;0,18
1.2.2.4.6.2;VEN000000000428766;Вентана-Граф;6;УМК Дронова. География (Роза ветров) (5-9);Летягин А. А.;География. 6 класс;75,00;0,18
1.2.2.4.6.3;VEN000000000428769;Вентана-Граф;7;УМК Дронова. География (Роза ветров) (5-9);Душина И. В., Смоктунович Т. Л.;География. 7 класс;75,00;0,18
1.2.2.4.6.4;VEN000000000428768;Вентана-Граф;8;УМК Дронова. География (Роза ветров) (5-9);Пятунин В. Б., Таможняя Е. А.;География. 8 класс;75,00;0,18
1.2.3.1.10.1;VEN000000000428778;Вентана-Граф;5;УМК Мерзляка. Математика (5-6);Мерзляк А. Г., Полонский В. Б., Якир М. С.;Математика. 5 класс;75,00;0,18
1.2.3.1.10.2;VEN000000000428779;Вентана-Граф;6;УМК Мерзляка. Математика (5-6);Мерзляк А. Г., Полонский В. Б., Якир М. С.;Математика. 6 класс;75,00;0,18
1.2.3.2.7.1;VEN000000000428773;Вентана-Граф;7;УМК Мерзляка. Алгебра (7-9) (Б);Мерзляк А. Г., Полонский В. Б., Якир М. С.;Алгебра. 7 класс;75,00;0,18
1.2.3.2.7.2;VEN000000000428774;Вентана-Граф;8;УМК Мерзляка. Алгебра (7-9) (Б);Мерзляк А. Г., Полонский В. Б., Якир М. С.;Алгебра. 8 класс;75,00;0,18
