IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP227;IP_PROP228;IP_PROP230;IP_PROP229;IP_PROP226;IP_PROP231;IC_GROUP0;IC_GROUP1;IC_GROUP2
237970;233129;233130;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233129;85;;;
237971;233131;233132;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233131;85;;;
237972;233133;233134;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233133;85;;;
237973;233135;233136;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233135;85;;;
237974;233137;233138;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233137;85;;;
237975;233139;233140;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233139;85;;;
237976;233141;233142;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233141;85;;;
237977;233143;233144;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233143;85;;;
237978;233145;233146;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233145;85;;;
237979;233147;233148;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233147;85;;;
237980;233149;233150;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233149;85;;;
237981;233151;233152;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233151;85;;;
237982;233153;233154;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233153;85;;;
237983;233155;233156;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233155;85;;;
237984;233157;233158;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233157;85;;;
237985;233159;233160;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233159;85;;;
237986;233161;233162;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233161;85;;;
237987;233163;233164;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233163;85;;;
237988;233165;233166;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233165;85;;;
237989;233167;233168;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233167;85;;;
237990;233169;233170;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233169;85;;;
237991;233171;233172;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233171;85;;;
237992;233173;233174;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233173;85;;;
237993;233175;233176;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233175;85;;;
237994;233177;233178;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233177;85;;;
237995;233179;233180;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233179;85;;;
237996;233181;233182;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233181;85;;;
237997;233183;233184;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233183;85;;;
237998;233185;233186;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233185;85;;;
237999;233187;233188;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233187;85;;;
238000;233189;233190;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233189;85;;;
238001;233191;233192;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233191;85;;;
238002;233787;233788;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233787;85;;;
238003;233789;233790;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233789;85;;;
238004;233791;233792;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233791;85;;;
238005;233793;233794;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233793;85;;;
238006;233795;233796;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233795;85;;;
238007;233797;233798;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233797;85;;;
238008;233799;233800;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233799;85;;;
238009;233801;233802;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233801;85;;;
238010;233803;233804;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233803;85;;;
238011;233805;233806;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233805;85;;;
238012;233807;233808;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233807;85;;;
238013;233809;233810;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233809;85;;;
238014;233811;233812;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233811;85;;;
238015;233813;233814;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233813;85;;;
238016;233815;233816;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233815;85;;;
238017;233817;233818;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233817;85;;;
238018;233819;233820;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233819;85;;;
238019;233821;233822;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233821;85;;;
238020;233823;233824;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233823;85;;;
238021;233825;233826;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233825;85;;;
238022;233827;233828;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233827;85;;;
238023;233829;233830;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233829;85;;;
238024;233831;233832;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233831;85;;;
238025;233833;233834;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233833;85;;;
238026;233835;233836;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233835;85;;;
238027;233837;233838;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233837;85;;;
238028;233839;233840;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233839;85;;;
238029;233841;233842;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233841;85;;;
238030;233843;233844;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233843;85;;;
238031;233845;233846;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233845;85;;;
238032;233847;233848;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233847;85;;;
238033;233849;233850;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233849;85;;;
238034;233851;233852;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233851;85;;;
238035;233853;233854;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233853;85;;;
238036;233855;233856;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233855;85;;;
238037;233857;233858;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233857;85;;;
238038;233859;233860;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233859;85;;;
238039;233861;233862;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233861;85;;;
238040;233863;233864;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233863;85;;;
238041;233865;233866;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233865;85;;;
238042;233867;233868;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233867;85;;;
238043;233869;233870;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233869;85;;;
238044;233871;233872;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233871;85;;;
238045;233873;233874;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233873;85;;;
238046;233875;233876;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233875;85;;;
238047;233877;233878;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233877;85;;;
238048;233879;233880;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233879;85;;;
238049;233881;233882;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233881;85;;;
238050;233883;233884;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233883;85;;;
238051;233885;233886;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233885;85;;;
238052;233887;233888;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233887;85;;;
238053;233889;233890;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233889;85;;;
238054;233891;233892;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233891;85;;;
238055;233893;233894;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233893;85;;;
238056;233895;233896;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233895;85;;;
238057;233897;233898;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233897;85;;;
238058;233899;233900;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233899;85;;;
238059;233901;233902;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233901;85;;;
238060;233903;233904;Y;;;;;text;;;text;;500;;258;121;237785;02.09.17;233903;85;;;
