IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP227;IP_PROP228;IP_PROP230;IP_PROP229;IP_PROP226;IP_PROP231;IC_GROUP0;IC_GROUP1;IC_GROUP2
231840;231839;231840;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231839;105;;;
231842;231841;231842;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231841;105;;;
231844;231843;231844;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231843;105;;;
231846;231845;231846;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231845;105;;;
231848;231847;231848;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231847;105;;;
231850;231849;231850;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231849;105;;;
231852;231851;231852;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231851;105;;;
232627;232626;232627;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232629;232628;232629;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232631;232630;232631;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232633;232632;232633;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232635;232634;232635;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232637;232636;232637;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232639;232638;232639;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232641;232640;232641;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232643;232642;232643;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232645;232644;232645;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232647;232646;232647;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232649;232648;232649;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232651;232650;232651;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232653;232652;232653;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232655;232654;232655;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232657;232656;232657;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232659;232658;232659;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232661;232660;232661;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232663;232662;232663;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232665;232664;232665;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232667;232666;232667;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232669;232668;232669;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232671;232670;232671;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232673;232672;232673;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232675;232674;232675;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232677;232676;232677;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232679;232678;232679;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232681;232680;232681;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232683;232682;232683;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232685;232684;232685;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232687;232686;232687;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232689;232688;232689;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232691;232690;232691;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232693;232692;232693;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232695;232694;232695;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232697;232696;232697;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232699;232698;232699;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232701;232700;232701;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232703;232702;232703;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232705;232704;232705;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232707;232706;232707;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232709;232708;232709;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232711;232710;232711;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232713;232712;232713;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232715;232714;232715;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232717;232716;232717;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232719;232718;232719;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232721;232720;232721;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232723;232722;232723;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232725;232724;232725;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232727;232726;232727;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232729;232728;232729;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232731;232730;232731;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232733;232732;232733;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
