Id;Nameauthor;fp_code;fp_code1;name;author;class;nds;Price
rus_efu_87;Студеникин М.Т. Основы светской этики  5кл.;2.2.4.1.2.2;2.2.4.1.2.2;Основы светской этики  5кл.;Студеникин М.Т.;5;0,18;105
rus_efu_88;Бородина А.В. Основы православной культуры 4кл.;1.1.4.1.6.3;1.1.4.1.6.3;Основы православной культуры 4кл.;Бородина А.В.;4;0,18;105
rus_efu_89;Янушкявичене О.Л., Васечко Ю.С., протоиерей Виктор Дорофеев, Яшина О.Н. Основы православной культуры 4кл.;1.1.4.1.6.4;1.1.4.1.6.4;Основы православной культуры 4кл.;Янушкявичене О.Л., Васечко Ю.С., протоиерей Виктор Дорофеев, Яшина О.Н.;4;0,18;105
rus_efu_90;Сахаров А.Н., Кочегаров К.А. / Под ред. Сахарова  А.Н. Основы религиозных культур народов России  4кл.;1.1.4.1.6.1;1.1.4.1.6.1;Основы религиозных культур народов России  4кл.;Сахаров А.Н., Кочегаров К.А. / Под ред. Сахарова  А.Н.;4;0,18;105
rus_efu_91;Студеникин М.Т. Основы светской этики  4кл. ФГОС;1.1.4.1.6.2;1.1.4.1.6.2;Основы светской этики  4кл. ФГОС;Студеникин М.Т.;4;0,18;105
rus_efu_92;Певцова Е.А. Право.Основы правовой культуры (базовый и углубленный уровни)  10кл.1ч.;1.3.3.8.2.1;1.3.3.8.2.1;Право.Основы правовой культуры (базовый и углубленный уровни)  10кл.1ч.;Певцова Е.А.;10;0,18;105
rus_efu_93;Певцова Е.А. Право.Основы правовой культуры (базовый и углубленный уровни)  10кл.2ч.;1.3.3.8.2.1;1.3.3.8.2.1;Право.Основы правовой культуры (базовый и углубленный уровни)  10кл.2ч.;Певцова Е.А.;10;0,18;105
rus_efu_94;Певцова Е.А. Право.Основы правовой культуры (базовый и углубленный уровни)  11кл.1ч.;1.3.3.8.2.2;1.3.3.8.2.2;Право.Основы правовой культуры (базовый и углубленный уровни)  11кл.1ч.;Певцова Е.А.;11;0,18;105
rus_efu_95;Певцова Е.А. Право.Основы правовой культуры (базовый и углубленный уровни)  11кл.2ч.;1.3.3.8.2.2;1.3.3.8.2.2;Право.Основы правовой культуры (базовый и углубленный уровни)  11кл.2ч.;Певцова Е.А.;11;0,18;105
rus_efu_96;Быстрова Е.А.,Кибирева Л.В. и др. /Под ред. Быстровой Е.А. Русский язык 5кл.1ч.;1.2.1.1.3.1;1.2.1.1.3.1;Русский язык 5кл.1ч.;Быстрова Е.А.,Кибирева Л.В. и др. /Под ред. Быстровой Е.А.;5;0,18;105
rus_efu_97;Быстрова Е.А.,Кибирева Л.В. и др. /Под ред. Быстровой Е.А Русский язык 5кл.2ч.;1.2.1.1.3.1;1.2.1.1.3.1;Русский язык 5кл.2ч.;Быстрова Е.А.,Кибирева Л.В. и др. /Под ред. Быстровой Е.А;5;0,18;105
rus_efu_98;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 6кл.1ч.;1.2.1.1.3.2;1.2.1.1.3.2;Русский язык 6кл.1ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;6;0,18;105
rus_efu_99;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 6кл.2ч.;1.2.1.1.3.2;1.2.1.1.3.2;Русский язык 6кл.2ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;6;0,18;105
rus_efu_100;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 7кл.1ч.;1.2.1.1.3.3;1.2.1.1.3.3;Русский язык 7кл.1ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;7;0,18;105
rus_efu_101;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 7кл.2ч.;1.2.1.1.3.3;1.2.1.1.3.3;Русский язык 7кл.2ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;7;0,18;105
rus_efu_102;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 8кл. 1ч.;1.2.1.1.3.4;1.2.1.1.3.4;Русский язык 8кл. 1ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;8;0,18;105
