1С025-04;ЭФУ;1С114-01;99.99.99.99.99.159;Семакин И.Г., Хеннер Е.К., Шестакова Л.В. ;Информатика. 11 класс. Углубленный уровень (в двух частях). Ч.1;11;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1С026-04;ЭФУ;1С115-01;99.99.99.99.99.160;Семакин И.Г.,Хеннер Е.К., Шестакова Л.В. ;Информатика. 11 класс. Углубленный уровень (в двух частях). Ч.2;11;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1П027-04;ЭФУ;1П127-01;99.99.99.99.99.161;Поляков К.Ю., Еремин Е.А. ;Информатика. 10 класс. Базовый и углубленный уровни (в двух частях). Ч.1;10;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1П028-04;ЭФУ;1П128-01;99.99.99.99.99.162;Поляков К.Ю., Еремин Е.А.  ;Информатика. 10 класс. Базовый и углубленный уровни (в двух частях). Ч.2;10;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1П029-04;ЭФУ;1П129-01;99.99.99.99.99.163;Поляков К.Ю., Еремин Е.А. ;Информатика. 11 класс. Базовый и углубленный уровни (в двух частях). Ч.1;11;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1П030-04;ЭФУ;1П130-01;99.99.99.99.99.164;Поляков К.Ю., Еремин Е.А.   ;Информатика. 11 класс. Базовый и углубленный уровни (в двух частях). Ч.2;11;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1М063-04;ЭФУ;1М077-01;99.99.99.99.99.165;под редакцией профессора Макаровой Н.В.     ;Информатика. 10-11 классы. Базовый уровень (в двух частях). Ч.1;10-11;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1М064-04;ЭФУ;1М121-01;99.99.99.99.99.166;под редакцией профессора Макаровой Н.В.     ;Информатика. 10-11 классы. Базовый уровень (в двух частях). Ч.2;10-11;2017;85,00;18%;;;;;;;;;;;;;;;;;;
8Б071-04;ЭФУ;8Б071-01;99.99.99.99.99.167;"Бешенков С.А. и др.; под ред. С.А. Бешенкова";Технология. 5 класс;5;2017;85,00;18%;;;;;;;;;;;;;;;;;;
8Б072-04;ЭФУ;8Б072-01;99.99.99.99.99.168;"Бешенков С.А. и др.; под ред. С.А. Бешенкова";Технология. 6 класс;6;2017;85,00;18%;;;;;;;;;;;;;;;;;;
8Б073-04;ЭФУ;8Б073-01;99.99.99.99.99.169;"Бешенков С.А. и др.; под ред. С.А. Бешенкова";Технология. 7 класс;7;2017;85,00;18%;;;;;;;;;;;;;;;;;;
8Б074-04;ЭФУ;8Б074-01;99.99.99.99.99.170;"Бешенков С.А. и др.; под ред. С.А. Бешенкова";Технология. 8 класс;8;2017;85,00;18%;;;;;;;;;;;;;;;;;;
6Г053-04;ЭФУ;6Г066-01;99.99.99.99.99.171;Генденштейн Л.Э., Булатова А.А. и др., под ред. В.А. Орлова;Физика. 7 класс (в двух частях). Ч.1;7;2017;85,00;18%;;;;;;;;;;;;;;;;;;
6Г054-04;ЭФУ;6Г122-01;99.99.99.99.99.172;Генденштейн Л.Э., Булатова А.А. и др., под ред. В.А. Орлова;Физика. 7 класс (в двух частях). Ч.2;7;2017;85,00;18%;;;;;;;;;;;;;;;;;;
6Г055-04;ЭФУ;6Г067-01;99.99.99.99.99.173;Генденштейн Л.Э., Булатова А.А. и др., под ред. В.А. Орлова;Физика. 8 класс (в двух частях). Ч.1;8;2017;85,00;18%;;;;;;;;;;;;;;;;;;
6Г056-04;ЭФУ;6Г123-01;99.99.99.99.99.174;Генденштейн Л.Э., Булатова А.А. и др., под ред. В.А. Орлова;Физика. 8 класс (в двух частях). Ч.2;8;2017;85,00;18%;;;;;;;;;;;;;;;;;;
6Г057-04;ЭФУ;6Г068-01;99.99.99.99.99.175;Генденштейн Л.Э., Булатова А.А. и др., под ред. В.А. Орлова;Физика. 9 класс (в двух частях). Ч.1;9;2017;85,00;18%;;;;;;;;;;;;;;;;;;
6Г058-04;ЭФУ;6Г124-01;99.99.99.99.99.176;Генденштейн Л.Э., Булатова А.А. и др., под ред. В.А. Орлова;Физика. 9 класс (в двух частях). Ч.2;9;2017;85,00;18%;;;;;;;;;;;;;;;;;;
6Г077-04;ЭФУ;6Г082-01;99.99.99.99.99.177;Генденштейн Л.Э., Булатова А.А. и др.;Физика. 10 класс. Базовый уровень;10;2017;85,00;18%;;;;;;;;;;;;;;;;;;
6Г078-04;ЭФУ;6Г083-01;99.99.99.99.99.178;Генденштейн Л.Э., Булатова А.А. и др.;Физика. 11 класс. Базовый уровень;11;2017;85,00;18%;;;;;;;;;;;;;;;;;;
6Г049-04;ЭФУ;6Г069-01;99.99.99.99.99.179;Генденштейн Л.Э., Булатова А.А. и др., под ред. В.А. Орлова;Физика. 10 класс. Базовый и углубленный уровни (в двух частях). Ч. 1 ;10;2017;85,00;18%;;;;;;;;;;;;;;;;;;
6Г050-04;ЭФУ;6Г125-01;99.99.99.99.99.180;Генденштейн Л.Э., Булатова А.А. и др., под ред. В.А. Орлова;Физика. 10 класс. Базовый и углубленный уровни (в двух частях). Ч. 2 ;10;2017;85,00;18%;;;;;;;;;;;;;;;;;;
6Г051-04;ЭФУ;6Г070-01;99.99.99.99.99.181;Генденштейн Л.Э., Булатова А.А. и др., под ред. В.А. Орлова;Физика. 11 класс. Базовый и углубленный уровни (в двух частях). Ч. 1 ;11;2017;85,00;18%;;;;;;;;;;;;;;;;;;
6Г052-04;ЭФУ;6Г126-01;99.99.99.99.99.182;Генденштейн Л.Э., Булатова А.А. и др., под ред. В.А. Орлова;Физика. 11 класс. Базовый и углубленный уровни (в двух частях). Ч. 2 ;11;2017;85,00;18%;;;;;;;;;;;;;;;;;;
