08-0348-01_l5;Плешаков А. А., Новицкая М. Ю.;Окружающий мир. 1 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);1;Плешаков А.А., Новицкая М.Ю. (1-4);Перспектива;99.99.99.99.99.99;181
08-0349-01_l5;Плешаков А. А., Новицкая М. Ю.;Окружающий мир. 2 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);2;Плешаков А.А., Новицкая М.Ю. (1-4);Перспектива;99.99.99.99.99.99;181
08-0350-01_l5;Плешаков А. А., Новицкая М. Ю.;Окружающий мир. 2 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);2;Плешаков А.А., Новицкая М.Ю. (1-4);Перспектива;99.99.99.99.99.99;181
08-0351-01_l5;Плешаков А. А., Новицкая М. Ю.;Окружающий мир. 3 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);3;Плешаков А.А., Новицкая М.Ю. (1-4);Перспектива;99.99.99.99.99.99;181
08-0352-01_l5;Плешаков А. А., Новицкая М. Ю.;Окружающий мир. 3 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);3;Плешаков А.А., Новицкая М.Ю. (1-4);Перспектива;99.99.99.99.99.99;181
08-0353-01_l5;Плешаков А. А., Новицкая М. Ю.;Окружающий мир. 4 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);4;Плешаков А.А., Новицкая М.Ю. (1-4);Перспектива;99.99.99.99.99.99;181
08-0354-01_l5;Плешаков А. А., Новицкая М. Ю.;Окружающий мир. 4 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);4;Плешаков А.А., Новицкая М.Ю. (1-4);Перспектива;99.99.99.99.99.99;181
11-0909-01_l5;Ладыженская Т. А., Баранов М. Т., Тростенцова Л. А. и др.;Русский язык. 5 класс. В 2-х ч. Ч. 2. Электронная форма учебника. (Лицензия 5 лет);5;Ладыженская Т.А. (5-9);;99.99.99.99.99.99;181
11-0910-01_l5;Баранов М. Т., Ладыженская Т. А., Тростенцова Л. А. и др. / Под науч.рук. Шанского Н. М.;Русский язык. 6 класс. В 2-х ч. Ч. 2. Электронная форма учебника. (Лицензия 5 лет);6;Ладыженская Т.А. (5-9);;99.99.99.99.99.99;181
11-0911-01_l5;Ладыженская Т. А., Баранов М. Т., Тростенцова Л. А. и др.;Русский язык. 5 класс. В 2-х ч. Ч. 1. Электронная форма учебника. (Лицензия 5 лет);5;Ладыженская Т.А. (5-9);;99.99.99.99.99.99;181
