Зинин С.А., Сахаров В.И. Литература 10кл.2ч. (Тест);rus_test_efu107;1.3.1.1.3.2;1.3.1.1.3.2;Литература 10кл.2ч.;Зинин С.А., Сахаров В.И.;10;0,18;105
Зинин С.А.,Чалмаев В.А. Литература 11кл. 1ч. (Тест);rus_test_efu108;1.3.1.1.3.3;1.3.1.1.3.3;Литература 11кл. 1ч.;Зинин С.А.,Чалмаев В.А.;11;0,18;105
Зинин С.А.,Чалмаев В.А. Литература 11кл. 2ч. (Тест);rus_test_efu109;1.3.1.1.3.3;1.3.1.1.3.3;Литература 11кл. 2ч.;Зинин С.А.,Чалмаев В.А.;11;0,18;105
Гольцова Н.Г., Шамшин И.В., Мищерина М.А. Русский язык 10-11 кл.Базовый уровень.В 2-х чч.1часть (Тест);rus_test_efu110;1.3.1.1.3.1;1.3.1.1.3.1;Русский язык 10-11 кл.Базовый уровень.В 2-х чч.1часть;Гольцова Н.Г., Шамшин И.В., Мищерина М.А.;10-11 кл;0,18;105
Гольцова Н.Г., Шамшин И.В., Мищерина М.А. Русский язык 10-11 кл.Базовый уровень.В 2-х чч.2часть (Тест);rus_test_efu111;1.3.1.1.3.1;1.3.1.1.3.1;Русский язык 10-11 кл.Базовый уровень.В 2-х чч.2часть;Гольцова Н.Г., Шамшин И.В., Мищерина М.А.;10-11 кл;0,18;105
Огерчук Л.Ю. Технология 1кл. (Тест);rus_test_efu112;1.1.6.1.7.1;1.1.6.1.7.1;Технология 1кл.;Огерчук Л.Ю.;1;0,18;105
Огерчук Л.Ю. Технология 2кл. (Тест);rus_test_efu113;1.1.6.1.7.2;1.1.6.1.7.2;Технология 2кл.;Огерчук Л.Ю.;2;0,18;105
Огерчук Л.Ю. Технология 3кл. (Тест);rus_test_efu114;1.1.6.1.7.3;1.1.6.1.7.3;Технология 3кл.;Огерчук Л.Ю.;3;0,18;105
Огерчук Л.Ю. Технология 4кл.1ч. (Тест);rus_test_efu115;1.1.6.1.7.4;1.1.6.1.7.4;Технология 4кл.1ч.;Огерчук Л.Ю.;4;0,18;105
Огерчук Л.Ю. Технология 4кл.2ч. (Тест);rus_test_efu116;1.1.6.1.7.4;1.1.6.1.7.4;Технология 4кл.2ч.;Огерчук Л.Ю.;4;0,18;105
Изергин Э. Т. Физика 7 кл. (Тест);rus_test_efu117;99.99.99.99.99.99;99.99.99.99.99.99;Физика 7 кл.;Изергин Э. Т.;7;0,18;105
Изергин Э. Т. Физика 8 кл. (Тест);rus_test_efu118;99.99.99.99.99.99;99.99.99.99.99.99;Физика 8 кл.;Изергин Э. Т.;8;0,18;105
Изергин Э. Т. Физика 9 кл. (Тест);rus_test_efu119;99.99.99.99.99.99;99.99.99.99.99.99;Физика 9 кл.;Изергин Э. Т.;9;0,18;105
Барышников В.Я., Белоусов А.И. / Под ред. Виленского М.Я. Физическая культура 1-2 классы (Тест);rus_test_efu120;1.1.7.1.1.1;1.1.7.1.1.1;Физическая культура 1-2 классы;Барышников В.Я., Белоусов А.И. / Под ред. Виленского М.Я.;1-2 кл;0,18;105
Барышников В.Я., Белоусов А.И. / Под ред. Виленского М.Я. Физическая культура 3-4 классы (Тест);rus_test_efu121;1.1.7.1.1.2;1.1.7.1.1.2;Физическая культура 3-4 классы;Барышников В.Я., Белоусов А.И. / Под ред. Виленского М.Я.;3-4 кл;0,18;105
Гурьев С.В./под ред.Виленского М.Я. Физическая культура 5-7 классы (Тест);rus_test_efu122;1.2.7.1.1.1;1.2.7.1.1.1;Физическая культура 5-7 классы;Гурьев С.В./под ред.Виленского М.Я.;5-7 кл;0,18;105
Гурьев С.В./Под ред.Виленского М.Я. Физическая культура 8-9 классы (Тест);rus_test_efu123;1.2.7.1.1.2;1.2.7.1.1.2;Физическая культура 8-9 классы;Гурьев С.В./Под ред.Виленского М.Я.;8-9 кл;0,18;105
Андрюхина Т.В.,Третьякова Н.В. /Под ред.Виленского М.Я. Физическая культура 10-11 классы (Тест);rus_test_efu124;1.3.6.1.1.1;1.3.6.1.1.1;Физическая культура 10-11 классы;Андрюхина Т.В.,Третьякова Н.В. /Под ред.Виленского М.Я.;10-11 кл;0,18;105
Новошинский И.И.,Новошинская Н.С. Химия 8кл. (Тест);rus_test_efu125;99.99.99.99.99.99;99.99.99.99.99.99;Химия 8кл.;Новошинский И.И.,Новошинская Н.С.;8;0,18;105
Новошинский И.И.,Новошинская Н.С. Химия 9кл. (Тест);rus_test_efu126;99.99.99.99.99.99;99.99.99.99.99.99;Химия 9кл.;Новошинский И.И.,Новошинская Н.С.;9;0,18;105
Новошинский И.И.,Новошинская Н.С. Химия 10 кл.Углубленый уровень (Тест);rus_test_efu127;1.3.5.4.4.1;1.3.5.4.4.1;Химия 10 кл.Углубленый уровень;Новошинский И.И.,Новошинская Н.С.;10;0,18;105
Новошинский И.И.,Новошинская Н.С. Химия 10 кл. Базовый уровень (Тест);rus_test_efu128;99.99.99.99.99.99;99.99.99.99.99.99;Химия 10 кл. Базовый уровень;Новошинский И.И.,Новошинская Н.С.;10;0,18;105
Новошинский И.И.,Новошинская Н.С. Химия 11кл.Углубленный уровень (Тест);rus_test_efu129;1.3.5.4.4.2;1.3.5.4.4.2;Химия 11кл.Углубленный уровень;Новошинский И.И.,Новошинская Н.С.;11;0,18;105
Новошинский И.И.,Новошинская Н.С. Химия 11кл.Базовый уровень (Тест);rus_test_efu130;1.3.5.4.4.2;1.3.5.4.4.2;Химия 11кл.Базовый уровень;Новошинский И.И.,Новошинская Н.С.;11;0,18;105
Мамедов Н.М.,Суравегина И.Т. Экология 10 кл.Базовый уровень (Тест);rus_test_efu131;1.3.6.2.1.1;1.3.6.2.1.1;Экология 10 кл.Базовый уровень;Мамедов Н.М.,Суравегина И.Т.;10;0,18;105
Мамедов Н.М.,Суравегина И.Т. Экология 11 кл.Базовый уровень (Тест);rus_test_efu132;1.3.6.2.1.2;1.3.6.2.1.2;Экология 11 кл.Базовый уровень;Мамедов Н.М.,Суравегина И.Т.;11;0,18;105
