№ ФП ;Код 1С (группа);Автор/авторский коллектив;Наименование учебника;Класс;Цена с доставкой (в т.ч. НДС), руб.
1.2.3.2.7.1;VEN000000000427019;Мерзляк А.Г., Полонский В.Б., Якир М.С.; Алгебра. 7 класс;7;339,00
1.2.3.2.7.2;VEN000000000427022;Мерзляк А.Г., Полонский В.Б., Якир М.С.; Алгебра. 8 класс;8;339,00
1.2.3.2.7.3;VEN000000000427056;Мерзляк А.Г., Полонский В.Б., Якир М.С.; Алгебра. 9 класс;9;339,00
1.2.3.2.8.1;VEN000000000427066;Мерзляк А.Г., Поляков В.М. ; Алгебра. 7 класс;7;339,00
1.2.3.2.8.2;VEN000000000427059;Мерзляк А.Г., Поляков В.М. ; Алгебра. 8 класс (углубленное изучение);8;339,00
1.2.3.2.8.3;VEN000000000427065;Мерзляк А.Г., Поляков В.М. ; Алгебра. 9 класс (углубленное изучение);9;339,00
1.2.3.3.5.1;VEN000000000427031;Мерзляк А.Г.,Полонский В.Б.,Якир МС;Геометрия ;7;339,00
1.2.3.3.5.2;VEN000000000427033;Мерзляк А.Г.,Полонский В.Б.,Якир МС;Геометрия ;8;339,00
1.2.3.3.5.3;VEN000000000427055;Мерзляк А.Г.,Полонский В.Б.,Якир МС;Геометрия ;9;339,00
1.2.4.1.3.1;VEN000000000427351;Грачёв А.В., Погожев В.А., Селиверстов А.В. ; Физика. 7 класс. ;7;339,00
1.2.4.1.3.2;VEN000000000427377;Грачёв А.В., Погожев В.А., Вишнякова Е.А. ; Физика. 8 класс. ;8;339,00
1.2.4.1.3.3;VEN000000000427376;Грачёв А.В., Погожев В.А., Боков П.Ю. ;" Физика. 9 класс. Учебник для  учащихся общеобразовательных организаций";9;345,00
1.2.4.1.8.1;VEN000000000427364;Хижнякова Л.С., Синявина А.А. ; Физика. 7 класс. ;7;314,00
1.2.4.1.8.2;VEN000000000427369; Хижнякова Л.С., Синявина А.А. ; Физика. 8 класс. ;8;314,00
1.2.4.1.8.3;VEN000000000427371; Хижнякова Л.С., Синявина А.А. ; Физика. 9 класс. ;9;314,00
1.2.4.2.6.1;VEN000000000426657;Пономарёва И.Н., Николаев И.В., Корнилова О.А. ; Биология. 5 класс. ;5;377,00
